"id","question","sparql","answer","frame"
"18","What is the capital of Francia?","SELECT ?objectLabel WHERE {    <http://www.wikidata.org/entity/Q146246> <http://www.wikidata.org/prop/direct/P36> ?object.   SERVICE wikibase:label {     bd:serviceParam wikibase:language ""en"" .   }}","Tournai","NPP"
"19","What was the capital of Francia?","SELECT ?objectLabel WHERE {    <http://www.wikidata.org/entity/Q146246> <http://www.wikidata.org/prop/direct/P36> ?object.   SERVICE wikibase:label {     bd:serviceParam wikibase:language ""en"" .   }}","Tournai","NPP"
"20","Give me the capital of Francia","SELECT ?objectLabel WHERE {    <http://www.wikidata.org/entity/Q146246> <http://www.wikidata.org/prop/direct/P36> ?object.   SERVICE wikibase:label {     bd:serviceParam wikibase:language ""en"" .   }}","Tournai","NPP"
"21","Tell me the capital of Francia","SELECT ?objectLabel WHERE {    <http://www.wikidata.org/entity/Q146246> <http://www.wikidata.org/prop/direct/P36> ?object.   SERVICE wikibase:label {     bd:serviceParam wikibase:language ""en"" .   }}","Tournai","NPP"
"22","What is the capital of Francia?","SELECT ?objectLabel WHERE {    <http://www.wikidata.org/entity/Q146246> <http://www.wikidata.org/prop/direct/P36> ?object.   SERVICE wikibase:label {     bd:serviceParam wikibase:language ""en"" .   }}","Tournai","NPP"
"23","What was the capital of Francia?","SELECT ?objectLabel WHERE {    <http://www.wikidata.org/entity/Q146246> <http://www.wikidata.org/prop/direct/P36> ?object.   SERVICE wikibase:label {     bd:serviceParam wikibase:language ""en"" .   }}","Tournai","NPP"
"24","Give me the capital of Commonwealth of England","SELECT ?objectLabel WHERE {    <http://www.wikidata.org/entity/Q330362> <http://www.wikidata.org/prop/direct/P36> ?object.   SERVICE wikibase:label {     bd:serviceParam wikibase:language ""en"" .   }}","London","NPP"
"25","Tell me the capital of Commonwealth of England","SELECT ?objectLabel WHERE {    <http://www.wikidata.org/entity/Q330362> <http://www.wikidata.org/prop/direct/P36> ?object.   SERVICE wikibase:label {     bd:serviceParam wikibase:language ""en"" .   }}","London","NPP"
"26","What is the capital of Commonwealth of England?","SELECT ?objectLabel WHERE {    <http://www.wikidata.org/entity/Q330362> <http://www.wikidata.org/prop/direct/P36> ?object.   SERVICE wikibase:label {     bd:serviceParam wikibase:language ""en"" .   }}","London","NPP"
"27","What was the capital of Commonwealth of England?","SELECT ?objectLabel WHERE {    <http://www.wikidata.org/entity/Q330362> <http://www.wikidata.org/prop/direct/P36> ?object.   SERVICE wikibase:label {     bd:serviceParam wikibase:language ""en"" .   }}","London","NPP"
"28","Give me the capital of Commonwealth of England","SELECT ?objectLabel WHERE {    <http://www.wikidata.org/entity/Q330362> <http://www.wikidata.org/prop/direct/P36> ?object.   SERVICE wikibase:label {     bd:serviceParam wikibase:language ""en"" .   }}","London","NPP"
"29","Tell me the capital of Commonwealth of England","SELECT ?objectLabel WHERE {    <http://www.wikidata.org/entity/Q330362> <http://www.wikidata.org/prop/direct/P36> ?object.   SERVICE wikibase:label {     bd:serviceParam wikibase:language ""en"" .   }}","London","NPP"
"30","What is the capital of Commonwealth of England?","SELECT ?objectLabel WHERE {    <http://www.wikidata.org/entity/Q330362> <http://www.wikidata.org/prop/direct/P36> ?object.   SERVICE wikibase:label {     bd:serviceParam wikibase:language ""en"" .   }}","London","NPP"
"31","What was the capital of Commonwealth of England?","SELECT ?objectLabel WHERE {    <http://www.wikidata.org/entity/Q330362> <http://www.wikidata.org/prop/direct/P36> ?object.   SERVICE wikibase:label {     bd:serviceParam wikibase:language ""en"" .   }}","London","NPP"
"32","Give me the capital of Commonwealth of England","SELECT ?objectLabel WHERE {    <http://www.wikidata.org/entity/Q330362> <http://www.wikidata.org/prop/direct/P36> ?object.   SERVICE wikibase:label {     bd:serviceParam wikibase:language ""en"" .   }}","London","NPP"
"33","Tell me the capital of Commonwealth of England","SELECT ?objectLabel WHERE {    <http://www.wikidata.org/entity/Q330362> <http://www.wikidata.org/prop/direct/P36> ?object.   SERVICE wikibase:label {     bd:serviceParam wikibase:language ""en"" .   }}","London","NPP"
"34","What is the capital of Commonwealth of England?","SELECT ?objectLabel WHERE {    <http://www.wikidata.org/entity/Q330362> <http://www.wikidata.org/prop/direct/P36> ?object.   SERVICE wikibase:label {     bd:serviceParam wikibase:language ""en"" .   }}","London","NPP"
"35","What was the capital of Commonwealth of England?","SELECT ?objectLabel WHERE {    <http://www.wikidata.org/entity/Q330362> <http://www.wikidata.org/prop/direct/P36> ?object.   SERVICE wikibase:label {     bd:serviceParam wikibase:language ""en"" .   }}","London","NPP"
"36","Give me the capital of Sultanate of Egypt","SELECT ?objectLabel WHERE {    <http://www.wikidata.org/entity/Q370173> <http://www.wikidata.org/prop/direct/P36> ?object.   SERVICE wikibase:label {     bd:serviceParam wikibase:language ""en"" .   }}","Cairo","NPP"
"37","Tell me the capital of Sultanate of Egypt","SELECT ?objectLabel WHERE {    <http://www.wikidata.org/entity/Q370173> <http://www.wikidata.org/prop/direct/P36> ?object.   SERVICE wikibase:label {     bd:serviceParam wikibase:language ""en"" .   }}","Cairo","NPP"
"38","What is the capital of Sultanate of Egypt?","SELECT ?objectLabel WHERE {    <http://www.wikidata.org/entity/Q370173> <http://www.wikidata.org/prop/direct/P36> ?object.   SERVICE wikibase:label {     bd:serviceParam wikibase:language ""en"" .   }}","Cairo","NPP"
"39","What was the capital of Sultanate of Egypt?","SELECT ?objectLabel WHERE {    <http://www.wikidata.org/entity/Q370173> <http://www.wikidata.org/prop/direct/P36> ?object.   SERVICE wikibase:label {     bd:serviceParam wikibase:language ""en"" .   }}","Cairo","NPP"
"40","Give me the capital of Sultanate of Egypt","SELECT ?objectLabel WHERE {    <http://www.wikidata.org/entity/Q370173> <http://www.wikidata.org/prop/direct/P36> ?object.   SERVICE wikibase:label {     bd:serviceParam wikibase:language ""en"" .   }}","Cairo","NPP"
"41","Tell me the capital of Sultanate of Egypt","SELECT ?objectLabel WHERE {    <http://www.wikidata.org/entity/Q370173> <http://www.wikidata.org/prop/direct/P36> ?object.   SERVICE wikibase:label {     bd:serviceParam wikibase:language ""en"" .   }}","Cairo","NPP"
"42","What is the capital of Sultanate of Egypt?","SELECT ?objectLabel WHERE {    <http://www.wikidata.org/entity/Q370173> <http://www.wikidata.org/prop/direct/P36> ?object.   SERVICE wikibase:label {     bd:serviceParam wikibase:language ""en"" .   }}","Cairo","NPP"
"43","What was the capital of Sultanate of Egypt?","SELECT ?objectLabel WHERE {    <http://www.wikidata.org/entity/Q370173> <http://www.wikidata.org/prop/direct/P36> ?object.   SERVICE wikibase:label {     bd:serviceParam wikibase:language ""en"" .   }}","Cairo","NPP"
"44","Give me the capital of Sultanate of Egypt","SELECT ?objectLabel WHERE {    <http://www.wikidata.org/entity/Q370173> <http://www.wikidata.org/prop/direct/P36> ?object.   SERVICE wikibase:label {     bd:serviceParam wikibase:language ""en"" .   }}","Cairo","NPP"
"45","Tell me the capital of Sultanate of Egypt","SELECT ?objectLabel WHERE {    <http://www.wikidata.org/entity/Q370173> <http://www.wikidata.org/prop/direct/P36> ?object.   SERVICE wikibase:label {     bd:serviceParam wikibase:language ""en"" .   }}","Cairo","NPP"
"46","What is the capital of Sultanate of Egypt?","SELECT ?objectLabel WHERE {    <http://www.wikidata.org/entity/Q370173> <http://www.wikidata.org/prop/direct/P36> ?object.   SERVICE wikibase:label {     bd:serviceParam wikibase:language ""en"" .   }}","Cairo","NPP"
"47","What was the capital of Sultanate of Egypt?","SELECT ?objectLabel WHERE {    <http://www.wikidata.org/entity/Q370173> <http://www.wikidata.org/prop/direct/P36> ?object.   SERVICE wikibase:label {     bd:serviceParam wikibase:language ""en"" .   }}","Cairo","NPP"
"48","Give me the capital of Paris Commune","SELECT ?objectLabel WHERE {    <http://www.wikidata.org/entity/Q133132> <http://www.wikidata.org/prop/direct/P36> ?object.   SERVICE wikibase:label {     bd:serviceParam wikibase:language ""en"" .   }}","Paris","NPP"
"49","Tell me the capital of Paris Commune","SELECT ?objectLabel WHERE {    <http://www.wikidata.org/entity/Q133132> <http://www.wikidata.org/prop/direct/P36> ?object.   SERVICE wikibase:label {     bd:serviceParam wikibase:language ""en"" .   }}","Paris","NPP"
"50","What is the capital of Paris Commune?","SELECT ?objectLabel WHERE {    <http://www.wikidata.org/entity/Q133132> <http://www.wikidata.org/prop/direct/P36> ?object.   SERVICE wikibase:label {     bd:serviceParam wikibase:language ""en"" .   }}","Paris","NPP"
"51","What was the capital of Paris Commune?","SELECT ?objectLabel WHERE {    <http://www.wikidata.org/entity/Q133132> <http://www.wikidata.org/prop/direct/P36> ?object.   SERVICE wikibase:label {     bd:serviceParam wikibase:language ""en"" .   }}","Paris","NPP"
"52","Give me the capital of Egypt","SELECT ?objectLabel WHERE {    <http://www.wikidata.org/entity/Q202311> <http://www.wikidata.org/prop/direct/P36> ?object.   SERVICE wikibase:label {     bd:serviceParam wikibase:language ""en"" .   }}","Alexandria","NPP"
"53","Tell me the capital of Egypt","SELECT ?objectLabel WHERE {    <http://www.wikidata.org/entity/Q202311> <http://www.wikidata.org/prop/direct/P36> ?object.   SERVICE wikibase:label {     bd:serviceParam wikibase:language ""en"" .   }}","Alexandria","NPP"
"54","What is the capital of Egypt?","SELECT ?objectLabel WHERE {    <http://www.wikidata.org/entity/Q202311> <http://www.wikidata.org/prop/direct/P36> ?object.   SERVICE wikibase:label {     bd:serviceParam wikibase:language ""en"" .   }}","Alexandria","NPP"
"55","What was the capital of Egypt?","SELECT ?objectLabel WHERE {    <http://www.wikidata.org/entity/Q202311> <http://www.wikidata.org/prop/direct/P36> ?object.   SERVICE wikibase:label {     bd:serviceParam wikibase:language ""en"" .   }}","Alexandria","NPP"
"56","Give me the capital of São Paulo metropolitan area","SELECT ?objectLabel WHERE {    <http://www.wikidata.org/entity/Q744763> <http://www.wikidata.org/prop/direct/P36> ?object.   SERVICE wikibase:label {     bd:serviceParam wikibase:language ""en"" .   }}","São Paulo","NPP"
"57","Tell me the capital of São Paulo metropolitan area","SELECT ?objectLabel WHERE {    <http://www.wikidata.org/entity/Q744763> <http://www.wikidata.org/prop/direct/P36> ?object.   SERVICE wikibase:label {     bd:serviceParam wikibase:language ""en"" .   }}","São Paulo","NPP"
"58","What is the capital of São Paulo metropolitan area?","SELECT ?objectLabel WHERE {    <http://www.wikidata.org/entity/Q744763> <http://www.wikidata.org/prop/direct/P36> ?object.   SERVICE wikibase:label {     bd:serviceParam wikibase:language ""en"" .   }}","São Paulo","NPP"
"59","What was the capital of São Paulo metropolitan area?","SELECT ?objectLabel WHERE {    <http://www.wikidata.org/entity/Q744763> <http://www.wikidata.org/prop/direct/P36> ?object.   SERVICE wikibase:label {     bd:serviceParam wikibase:language ""en"" .   }}","São Paulo","NPP"
"60","Give me the capital of United Arab States","SELECT ?objectLabel WHERE {    <http://www.wikidata.org/entity/Q856843> <http://www.wikidata.org/prop/direct/P36> ?object.   SERVICE wikibase:label {     bd:serviceParam wikibase:language ""en"" .   }}","Cairo","NPP"
"61","Tell me the capital of United Arab States","SELECT ?objectLabel WHERE {    <http://www.wikidata.org/entity/Q856843> <http://www.wikidata.org/prop/direct/P36> ?object.   SERVICE wikibase:label {     bd:serviceParam wikibase:language ""en"" .   }}","Cairo","NPP"
"62","What is the capital of United Arab States?","SELECT ?objectLabel WHERE {    <http://www.wikidata.org/entity/Q856843> <http://www.wikidata.org/prop/direct/P36> ?object.   SERVICE wikibase:label {     bd:serviceParam wikibase:language ""en"" .   }}","Cairo","NPP"
"63","What was the capital of United Arab States?","SELECT ?objectLabel WHERE {    <http://www.wikidata.org/entity/Q856843> <http://www.wikidata.org/prop/direct/P36> ?object.   SERVICE wikibase:label {     bd:serviceParam wikibase:language ""en"" .   }}","Cairo","NPP"
"64","Give me the capital of United Arab States","SELECT ?objectLabel WHERE {    <http://www.wikidata.org/entity/Q856843> <http://www.wikidata.org/prop/direct/P36> ?object.   SERVICE wikibase:label {     bd:serviceParam wikibase:language ""en"" .   }}","Cairo","NPP"
"65","Tell me the capital of United Arab States","SELECT ?objectLabel WHERE {    <http://www.wikidata.org/entity/Q856843> <http://www.wikidata.org/prop/direct/P36> ?object.   SERVICE wikibase:label {     bd:serviceParam wikibase:language ""en"" .   }}","Cairo","NPP"
"66","What is the capital of United Arab States?","SELECT ?objectLabel WHERE {    <http://www.wikidata.org/entity/Q856843> <http://www.wikidata.org/prop/direct/P36> ?object.   SERVICE wikibase:label {     bd:serviceParam wikibase:language ""en"" .   }}","Cairo","NPP"
"67","What was the capital of United Arab States?","SELECT ?objectLabel WHERE {    <http://www.wikidata.org/entity/Q856843> <http://www.wikidata.org/prop/direct/P36> ?object.   SERVICE wikibase:label {     bd:serviceParam wikibase:language ""en"" .   }}","Cairo","NPP"
"68","Give me the capital of United Arab States","SELECT ?objectLabel WHERE {    <http://www.wikidata.org/entity/Q856843> <http://www.wikidata.org/prop/direct/P36> ?object.   SERVICE wikibase:label {     bd:serviceParam wikibase:language ""en"" .   }}","Cairo","NPP"
"69","Tell me the capital of United Arab States","SELECT ?objectLabel WHERE {    <http://www.wikidata.org/entity/Q856843> <http://www.wikidata.org/prop/direct/P36> ?object.   SERVICE wikibase:label {     bd:serviceParam wikibase:language ""en"" .   }}","Cairo","NPP"
"70","What is the capital of United Arab States?","SELECT ?objectLabel WHERE {    <http://www.wikidata.org/entity/Q856843> <http://www.wikidata.org/prop/direct/P36> ?object.   SERVICE wikibase:label {     bd:serviceParam wikibase:language ""en"" .   }}","Cairo","NPP"
"71","What was the capital of United Arab States?","SELECT ?objectLabel WHERE {    <http://www.wikidata.org/entity/Q856843> <http://www.wikidata.org/prop/direct/P36> ?object.   SERVICE wikibase:label {     bd:serviceParam wikibase:language ""en"" .   }}","Cairo","NPP"
"72","Give me the capital of Léman","SELECT ?objectLabel WHERE {    <http://www.wikidata.org/entity/Q691368> <http://www.wikidata.org/prop/direct/P36> ?object.   SERVICE wikibase:label {     bd:serviceParam wikibase:language ""en"" .   }}","Geneva","NPP"
"73","Tell me the capital of Léman","SELECT ?objectLabel WHERE {    <http://www.wikidata.org/entity/Q691368> <http://www.wikidata.org/prop/direct/P36> ?object.   SERVICE wikibase:label {     bd:serviceParam wikibase:language ""en"" .   }}","Geneva","NPP"
"74","What is the capital of Léman?","SELECT ?objectLabel WHERE {    <http://www.wikidata.org/entity/Q691368> <http://www.wikidata.org/prop/direct/P36> ?object.   SERVICE wikibase:label {     bd:serviceParam wikibase:language ""en"" .   }}","Geneva","NPP"
"75","What was the capital of Léman?","SELECT ?objectLabel WHERE {    <http://www.wikidata.org/entity/Q691368> <http://www.wikidata.org/prop/direct/P36> ?object.   SERVICE wikibase:label {     bd:serviceParam wikibase:language ""en"" .   }}","Geneva","NPP"
"76","Give me the capital of Great Britain","SELECT ?objectLabel WHERE {    <http://www.wikidata.org/entity/Q161885> <http://www.wikidata.org/prop/direct/P36> ?object.   SERVICE wikibase:label {     bd:serviceParam wikibase:language ""en"" .   }}","London","NPP"
"77","Tell me the capital of Great Britain","SELECT ?objectLabel WHERE {    <http://www.wikidata.org/entity/Q161885> <http://www.wikidata.org/prop/direct/P36> ?object.   SERVICE wikibase:label {     bd:serviceParam wikibase:language ""en"" .   }}","London","NPP"
"78","What is the capital of Great Britain?","SELECT ?objectLabel WHERE {    <http://www.wikidata.org/entity/Q161885> <http://www.wikidata.org/prop/direct/P36> ?object.   SERVICE wikibase:label {     bd:serviceParam wikibase:language ""en"" .   }}","London","NPP"
"79","What was the capital of Great Britain?","SELECT ?objectLabel WHERE {    <http://www.wikidata.org/entity/Q161885> <http://www.wikidata.org/prop/direct/P36> ?object.   SERVICE wikibase:label {     bd:serviceParam wikibase:language ""en"" .   }}","London","NPP"
"80","Give me the capital of São Paulo","SELECT ?objectLabel WHERE {    <http://www.wikidata.org/entity/Q2331485> <http://www.wikidata.org/prop/direct/P36> ?object.   SERVICE wikibase:label {     bd:serviceParam wikibase:language ""en"" .   }}","São Paulo","NPP"
"81","Tell me the capital of São Paulo","SELECT ?objectLabel WHERE {    <http://www.wikidata.org/entity/Q2331485> <http://www.wikidata.org/prop/direct/P36> ?object.   SERVICE wikibase:label {     bd:serviceParam wikibase:language ""en"" .   }}","São Paulo","NPP"
"82","What is the capital of São Paulo?","SELECT ?objectLabel WHERE {    <http://www.wikidata.org/entity/Q2331485> <http://www.wikidata.org/prop/direct/P36> ?object.   SERVICE wikibase:label {     bd:serviceParam wikibase:language ""en"" .   }}","São Paulo","NPP"
"83","What was the capital of São Paulo?","SELECT ?objectLabel WHERE {    <http://www.wikidata.org/entity/Q2331485> <http://www.wikidata.org/prop/direct/P36> ?object.   SERVICE wikibase:label {     bd:serviceParam wikibase:language ""en"" .   }}","São Paulo","NPP"
"84","Give me the capital of Seine","SELECT ?objectLabel WHERE {    <http://www.wikidata.org/entity/Q1142326> <http://www.wikidata.org/prop/direct/P36> ?object.   SERVICE wikibase:label {     bd:serviceParam wikibase:language ""en"" .   }}","Paris","NPP"
"85","Tell me the capital of Seine","SELECT ?objectLabel WHERE {    <http://www.wikidata.org/entity/Q1142326> <http://www.wikidata.org/prop/direct/P36> ?object.   SERVICE wikibase:label {     bd:serviceParam wikibase:language ""en"" .   }}","Paris","NPP"
"86","What is the capital of Seine?","SELECT ?objectLabel WHERE {    <http://www.wikidata.org/entity/Q1142326> <http://www.wikidata.org/prop/direct/P36> ?object.   SERVICE wikibase:label {     bd:serviceParam wikibase:language ""en"" .   }}","Paris","NPP"
"87","What was the capital of Seine?","SELECT ?objectLabel WHERE {    <http://www.wikidata.org/entity/Q1142326> <http://www.wikidata.org/prop/direct/P36> ?object.   SERVICE wikibase:label {     bd:serviceParam wikibase:language ""en"" .   }}","Paris","NPP"
"88","Give me the capital of National Assembly of the 4th Republic","SELECT ?objectLabel WHERE {    <http://www.wikidata.org/entity/Q2867087> <http://www.wikidata.org/prop/direct/P36> ?object.   SERVICE wikibase:label {     bd:serviceParam wikibase:language ""en"" .   }}","Paris","NPP"
"89","Tell me the capital of National Assembly of the 4th Republic","SELECT ?objectLabel WHERE {    <http://www.wikidata.org/entity/Q2867087> <http://www.wikidata.org/prop/direct/P36> ?object.   SERVICE wikibase:label {     bd:serviceParam wikibase:language ""en"" .   }}","Paris","NPP"
"90","What is the capital of National Assembly of the 4th Republic?","SELECT ?objectLabel WHERE {    <http://www.wikidata.org/entity/Q2867087> <http://www.wikidata.org/prop/direct/P36> ?object.   SERVICE wikibase:label {     bd:serviceParam wikibase:language ""en"" .   }}","Paris","NPP"
"91","What was the capital of National Assembly of the 4th Republic?","SELECT ?objectLabel WHERE {    <http://www.wikidata.org/entity/Q2867087> <http://www.wikidata.org/prop/direct/P36> ?object.   SERVICE wikibase:label {     bd:serviceParam wikibase:language ""en"" .   }}","Paris","NPP"
"92","Give me the capital of French Fourth Republic","SELECT ?objectLabel WHERE {    <http://www.wikidata.org/entity/Q69829> <http://www.wikidata.org/prop/direct/P36> ?object.   SERVICE wikibase:label {     bd:serviceParam wikibase:language ""en"" .   }}","Paris","NPP"
"93","Tell me the capital of French Fourth Republic","SELECT ?objectLabel WHERE {    <http://www.wikidata.org/entity/Q69829> <http://www.wikidata.org/prop/direct/P36> ?object.   SERVICE wikibase:label {     bd:serviceParam wikibase:language ""en"" .   }}","Paris","NPP"
"94","What is the capital of French Fourth Republic?","SELECT ?objectLabel WHERE {    <http://www.wikidata.org/entity/Q69829> <http://www.wikidata.org/prop/direct/P36> ?object.   SERVICE wikibase:label {     bd:serviceParam wikibase:language ""en"" .   }}","Paris","NPP"
"95","What was the capital of French Fourth Republic?","SELECT ?objectLabel WHERE {    <http://www.wikidata.org/entity/Q69829> <http://www.wikidata.org/prop/direct/P36> ?object.   SERVICE wikibase:label {     bd:serviceParam wikibase:language ""en"" .   }}","Paris","NPP"
"96","Give me the capital of Vichy France","SELECT ?objectLabel WHERE {    <http://www.wikidata.org/entity/Q69808> <http://www.wikidata.org/prop/direct/P36> ?object.   SERVICE wikibase:label {     bd:serviceParam wikibase:language ""en"" .   }}","Vichy","NPP"
"97","Tell me the capital of Vichy France","SELECT ?objectLabel WHERE {    <http://www.wikidata.org/entity/Q69808> <http://www.wikidata.org/prop/direct/P36> ?object.   SERVICE wikibase:label {     bd:serviceParam wikibase:language ""en"" .   }}","Vichy","NPP"
"98","What is the capital of Vichy France?","SELECT ?objectLabel WHERE {    <http://www.wikidata.org/entity/Q69808> <http://www.wikidata.org/prop/direct/P36> ?object.   SERVICE wikibase:label {     bd:serviceParam wikibase:language ""en"" .   }}","Vichy","NPP"
"99","What was the capital of Vichy France?","SELECT ?objectLabel WHERE {    <http://www.wikidata.org/entity/Q69808> <http://www.wikidata.org/prop/direct/P36> ?object.   SERVICE wikibase:label {     bd:serviceParam wikibase:language ""en"" .   }}","Vichy","NPP"
"100","Give me the capital of French Fourth Republic","SELECT ?objectLabel WHERE {    <http://www.wikidata.org/entity/Q69829> <http://www.wikidata.org/prop/direct/P36> ?object.   SERVICE wikibase:label {     bd:serviceParam wikibase:language ""en"" .   }}","Paris","NPP"
"101","Tell me the capital of French Fourth Republic","SELECT ?objectLabel WHERE {    <http://www.wikidata.org/entity/Q69829> <http://www.wikidata.org/prop/direct/P36> ?object.   SERVICE wikibase:label {     bd:serviceParam wikibase:language ""en"" .   }}","Paris","NPP"
"102","What is the capital of French Fourth Republic?","SELECT ?objectLabel WHERE {    <http://www.wikidata.org/entity/Q69829> <http://www.wikidata.org/prop/direct/P36> ?object.   SERVICE wikibase:label {     bd:serviceParam wikibase:language ""en"" .   }}","Paris","NPP"
"103","What was the capital of French Fourth Republic?","SELECT ?objectLabel WHERE {    <http://www.wikidata.org/entity/Q69829> <http://www.wikidata.org/prop/direct/P36> ?object.   SERVICE wikibase:label {     bd:serviceParam wikibase:language ""en"" .   }}","Paris","NPP"
"104","Give me the capital of French Fourth Republic","SELECT ?objectLabel WHERE {    <http://www.wikidata.org/entity/Q69829> <http://www.wikidata.org/prop/direct/P36> ?object.   SERVICE wikibase:label {     bd:serviceParam wikibase:language ""en"" .   }}","Paris","NPP"
"105","Tell me the capital of French Fourth Republic","SELECT ?objectLabel WHERE {    <http://www.wikidata.org/entity/Q69829> <http://www.wikidata.org/prop/direct/P36> ?object.   SERVICE wikibase:label {     bd:serviceParam wikibase:language ""en"" .   }}","Paris","NPP"
"106","What is the capital of French Fourth Republic?","SELECT ?objectLabel WHERE {    <http://www.wikidata.org/entity/Q69829> <http://www.wikidata.org/prop/direct/P36> ?object.   SERVICE wikibase:label {     bd:serviceParam wikibase:language ""en"" .   }}","Paris","NPP"
"107","What was the capital of French Fourth Republic?","SELECT ?objectLabel WHERE {    <http://www.wikidata.org/entity/Q69829> <http://www.wikidata.org/prop/direct/P36> ?object.   SERVICE wikibase:label {     bd:serviceParam wikibase:language ""en"" .   }}","Paris","NPP"
"108","Give me the capital of First French Empire","SELECT ?objectLabel WHERE {    <http://www.wikidata.org/entity/Q71084> <http://www.wikidata.org/prop/direct/P36> ?object.   SERVICE wikibase:label {     bd:serviceParam wikibase:language ""en"" .   }}","Paris","NPP"
